event
1 run
1 run
OUT
no run
no run
1 run
1 run
1 run
1 run
OUT
no run
no run
1 run
no run
no run
1 run
no run
FOUR runs
1 run
1 run
SIX runs
no run
1 wide
OUT
1 run
1 run
1 run
1 run
no run
1 run
1 wide
1 run
no run
1 run
1 run
1 run
SIX runs
1 run
2 runs
no run
FOUR runs
no run
1 run
no run
no run
no run
1 run
OUT
no run
1 run
FOUR runs
1 run
no run
1 run
SIX runs
FOUR runs
FOUR runs
OUT
1 run
no run
1 run
no run
1 run
no run
no run
no run
1 run
1 run
no run
FOUR runs
no run
2 runs
SIX runs
no run
FOUR runs
1 run
1 run
FOUR runs
2 runs
1 run
no run
no run
2 runs
1 run
no run
no run
no run
1 run
1 run
1 leg bye
1 run
1 run
1 run
1 run
1 run
no run
2 runs
no run
2 runs
1 run
1 run
1 run
FOUR runs
1 run
2 runs
2 runs
1 run
2 runs
no run
FOUR runs
no run
1 run
no run
no run
1 run
FOUR runs
no run
no run
SIX runs
FOUR runs
no run
1 run
1 run
FOUR runs
1 run
1 run
1 run
OUT
OUT
1 run
no run
OUT
OUT
FOUR runs
no run
no run
2 runs
no run
OUT
no run
no run
1 run
1 leg bye
1 run
no run
no run
no run
FOUR runs
1 run
no run
OUT
no run
1 run
SIX runs
1 run
no run
1 run
1 run
1 run
SIX runs
no run
1 run
1 wide
1 run
1 run
no run
no run
1 run
1 run
1 run
2 runs
OUT
no run
1 run
1 run
FOUR runs
FOUR runs
no run
1 run
1 run
1 run
2 runs
1 run
SIX runs
1 run
FOUR runs
1 run
2 runs
1 run
1 run
no run
1 run
1 run
2 runs
no run
1 wide
1 run
1 run
OUT
1 run
no run
FOUR runs
1 run
1 run
no run
FOUR runs
1 run
1 run
1 run
FOUR runs
no run
1 run
1 run
FOUR runs
1 run
OUT
1 run
1 run
1 run
1 run
no run
1 run
1 run
OUT
FOUR runs
no run
no run
OUT
1 run
no run
1 run
FOUR runs
1 run
no run
1 leg bye
1 run
no run
1 run
SIX runs
OUT
no run
1 run
FOUR runs
2 runs
SIX runs
1 run
2 runs
1 leg bye
no run
1 run
1 run
1 run
1 run
1 run
SIX runs
2 runs
no run
1 run
1 run
FOUR runs
no run
1 run
1 run
1 run
no run
1 leg bye
1 run
2 runs
2 runs
FOUR runs
no run
1 run
1 wide
1 run
1 run
no run
SIX runs
1 run
1 run
1 run
1 run
OUT
no run
1 run
SIX runs
SIX runs
FOUR runs
SIX runs
SIX runs
SIX runs
FOUR runs
1 run
no run
OUT
no run
OUT
no run
SIX runs
1 run
FOUR runs
FOUR runs
FOUR runs
1 wide
no run
1 run
FOUR runs
1 run
no run
no run
no run
no run
1 run
1 run
2 runs
1 run
SIX runs
1 run
no run
1 run
no run
1 run
no run
1 wide
1 run
1 run
1 run
1 run
1 run
1 run
OUT
1 wide
1 run
no run
FOUR runs
no run
FOUR runs
2 runs
1 run
1 run
1 run
1 run
FOUR runs
3 runs
FOUR runs
1 run
FOUR runs
no run
SIX runs
1 leg bye
FOUR runs
1 run
1 run
FOUR runs
1 run
no run
SIX runs
1 run
no run
1 run
FOUR runs
1 run
1 run
1 run
1 leg bye
no run
2 runs
OUT
no run
1 run
no run
1 run
1 run
no run
2 runs
no run
1 run
no run
1 run
FOUR runs
1 wide
OUT
1 run
no run
FOUR runs
1 run
1 run
FOUR runs
2 runs
1 run
1 run
SIX runs
no run
no run
1 run
1 wide
no run
no run
1 run
1 run
no run
1 run
FOUR runs
2 runs
1 run
1 run
SIX runs
SIX runs
1 run
FOUR runs
no run
no run
SIX runs
1 run
no run
1 run
1 run
1 run
1 run
1 run
no run
1 run
FOUR runs
1 run
no run
1 run
1 run
SIX runs
OUT
1 run
1 run
no run
1 run
no run
1 run
1 run
1 run
1 run
FOUR runs
no run
1 run
FOUR runs
2 runs
2 runs
2 runs
OUT
1 wide
1 run
1 run
FOUR runs
SIX runs
OUT
no run
no run
1 run
2 runs
FOUR runs
1 run
OUT
1 run
2 runs
2 runs
1 run
2 runs
1 run
FOUR runs
1 run
1 run
no run
1 run
OUT
1 run
5 runs
no run
no run
1 run
FOUR runs
1 run
no run
1 run
1 run
FOUR runs
1 wide
no run
1 run
1 run
no run
no run
1 run
OUT
1 run
3 runs
1 run
1 run
FOUR runs
1 run
1 leg bye
no run
1 run
FOUR runs
1 run
SIX runs
1 run
1 run
1 run
no run
1 run
FOUR runs
1 wide
FOUR runs
no run
1 run
1 run
no run
1 run
no run
1 run
no run
SIX runs
FOUR runs
5 wide
1 run
1 run
no run
FOUR runs
FOUR runs
2 runs
1 wide
FOUR runs
1 run
1 leg bye
no run
1 run
1 run
2 runs
no run
no run
1 run
1 run
1 run
no run
no run
1 leg bye
1 run
no run
1 run
1 run
5 runs
1 run
FOUR runs
1 run
FOUR runs
no run
no run
1 run
no run
SIX runs
1 run
1 run
FOUR runs
OUT
1 run
no run
no run
FOUR runs
no run
2 runs
1 run
1 run
1 run
1 run
FOUR runs
SIX runs
2 runs
FOUR runs
1 wide
FOUR runs
1 run
SIX runs
1 leg bye
1 run
1 run
1 run
FOUR runs
FOUR runs
2 runs
FOUR runs
no run
no run
FOUR runs
FOUR runs
FOUR runs
1 run
SIX runs
FOUR runs
no run
no run
FOUR runs
1 run
no run
FOUR runs
no run
1 run
no run
OUT
1 run
FOUR runs
FOUR runs
2 runs
2 runs
FOUR runs
1 run
OUT
no run
2 runs
SIX runs
1 wide
1 run
1 run
OUT
OUT
1 run
no run
1 run
OUT
no run
no run
no run
no run
2 runs
1 run
FOUR runs
1 run
1 run
1 run
no run
no run
SIX runs
OUT
FOUR runs
1 run
no run
no run
1 run
1 run
SIX runs
1 run
1 run
no run
2 runs
OUT
no run
1 run
no run
1 run
1 run
1 run
1 run
FOUR runs
1 run
1 run
no run
1 run
1 run
1 run
no run
no run
FOUR runs
1 run
1 leg bye
1 run
1 run
no run
no run
no run
OUT
FOUR runs
FOUR runs
SIX runs
no run
FOUR runs
1 run
1 run
1 run
1 run
1 run
1 run
FOUR runs
1 run
SIX runs
2 runs
no run
FOUR runs
FOUR runs
SIX runs
1 run
1 run
1 leg bye
no run
FOUR runs
2 runs
1 run
1 run
no run
1 run
no run
OUT
1 run
1 run
no run
FOUR runs
FOUR runs
1 run
1 run
1 run
1 run
1 run
FOUR runs
FOUR runs
SIX runs
no run
SIX runs
no run
no run
no run
no run
1 run
2 runs
FOUR runs
OUT
FOUR runs
SIX runs
1 run
1 run
OUT
SIX runs
FOUR runs
1 run
SIX runs
FOUR runs
1 run
FOUR runs
no run
no run
1 run
1 run
1 run
no run
no run
no run
1 run
1 wide
1 run
1 wide
FOUR runs
1 run
no run
1 run
1 run
1 run
"1 run, OUT"
1 run
FOUR runs
no run
no run
no run
1 run
FOUR runs
FOUR runs
1 run
1 run
no run
no run
OUT
1 run
1 run
SIX runs
1 run
1 wide
no run
no run
1 run
no run
1 run
1 run
no run
no run
1 run
FOUR runs
no run
1 wide
1 run
1 run
1 run
1 run
no run
FOUR runs
FOUR runs
no run
no run
OUT
no run
1 run
1 run
no run
1 run
no run
1 run
2 runs
1 run
1 run
1 run
no run
no run
1 run
FOUR runs
1 run
1 run
1 run
1 run
1 run
FOUR runs
SIX runs
no run
2 runs
SIX runs
no run
no run
2 runs
no run
1 run
OUT
SIX runs
1 run
no run
no run
SIX runs
no run
1 run
FOUR runs
no run
FOUR runs
2 runs
OUT
1 run
1 run
no run
no run
1 run
no run
no run
no run
1 run
2 runs
1 leg bye
2 runs
2 runs
no run
FOUR runs
1 run
no run
2 runs
FOUR runs
no run
1 run
no run
FOUR runs
2 runs
FOUR runs
1 run
SIX runs
2 runs
1 run
1 run
2 runs
1 run
no run
FOUR runs
1 run
2 runs
1 run
no run
1 run
1 run
2 runs
no run
1 run
no run
1 run
1 run
no run
1 run
2 runs
1 wide
1 run
1 leg bye
1 run
1 run
1 run
1 run
1 run
1 run
no run
no run
OUT
FOUR runs
no run
1 run
2 runs
1 run
no run
no run
1 run
no run
1 run
no run
1 run
SIX runs
1 run
1 run
no run
1 run
1 run
FOUR runs
2 runs
2 runs
FOUR runs
2 runs
1 run
SIX runs
2 runs
1 run
2 runs
1 run
1 run
1 run
SIX runs
no run
1 run
no run
no run
OUT
1 run
1 run
1 run
no run
no run
1 run
FOUR runs
1 run
no run
1 run
no run
1 run
1 run
1 run
2 runs
no run
1 run
1 run
1 run
1 run
no run
1 run
FOUR runs
1 run
1 run
SIX runs
2 runs
no run
FOUR runs
SIX runs
2 runs
OUT
"1 run, OUT"
1 run
no run
FOUR runs
FOUR runs
1 wide
1 leg bye
FOUR runs
1 run
2 runs
1 run
2 runs
OUT
SIX runs
1 run
1 run
FOUR runs
SIX runs
SIX runs
3 wide
1 run
1 run
no run
1 run
OUT
1 run
1 wide
